Tag	Full Name	Flavor Text	IsAugSlot	Major Group	Sub Group	Protector	Surgical Parent	Parent Need
BrainStem	Brain Stem	Affects wakefulness and metabolism.	0	BRAIN	HEAD	Skull	None	None
StemAug	Brain Stem Augmentation	Affects wakefulness and metabolism.	1	BRAIN	HEAD	Skull	Brain Stem	Organic
Cerebellum	Cerebellum	Determines maximum agility.	0	BRAIN	HEAD	Skull	None	None
CerAug	Cerebellum Augmentation	Determines maximum agility.	1	BRAIN	HEAD	Skull	Cerebellum	Organic
Frontal	Frontal Lobe	Affects diplomacy, emotional control, critical thinking, charm and threat.	0	BRAIN	HEAD	Skull	None	None
FroAug	Frontal Lobe Augmentation	Affects diplomacy, emotional control, critical thinking, charm and threat.	1	BRAIN	HEAD	Skull	Frontal Lobe	Organic
Parietal	Parietal Lobe	Determines maximum spatial sense. Affects pain tolerance and diplomacy.	0	BRAIN	HEAD	Skull	None	None
ParAug	Parietal Lobe Augmentation	Determines maximum spatial sense. Affects pain tolerance and diplomacy.	1	BRAIN	HEAD	Skull	Parietal Lobe	Organic
Occipital	Occipital Lobe	Determines maximum visual detail, and visible spectra.	0	BRAIN	HEAD	Skull	None	None
OccAug	Occipital Lobe Augmentation	Determines maximum visual detail, and visible spectra.	1	BRAIN	HEAD	Skull	Occipital Lobe	Organic
Temporal	Temporal Lobe	Affects critical thinking and diplomacy.	0	BRAIN	HEAD	Skull	None	None
TemAug	Temporal Lobe Augmentation	Affects critical thinking and diplomacy.	1	BRAIN	HEAD	Skull	Temporal Lobe	Organic
Hypothalamus	Hypothalamus	Affects wakefullness and metabolism.	0	BRAIN	HEAD	Skull	None	None
HypAug	Hypothalamus Augmentation	Affects wakefullness and metabolism.	1	BRAIN	HEAD	Skull	Hypothalamus	Organic
Pituitary	Pituitary Gland	Greatly affects stress response and pain tolerance.	0	BRAIN	HEAD	Skull	None	None
PitAug	Pituitary Gland Augmentation	Greatly affects stress response and pain tolerance.	1	BRAIN	HEAD	Skull	Pituitary Gland	Organic
Pineal	Pineal Gland	Greatly affects wakefulness.	0	BRAIN	HEAD	Skull	None	None
PinAug	Pineal Gland Augmentation	Greatly affects wakefulness.	1	BRAIN	HEAD	Skull	Pineal Gland	Organic
Thalamus	Thalamus	Affects alertness and pain tolerance.	0	BRAIN	HEAD	Skull	None	None
ThaAug	Thalamus Augmentation	Affects alertness and pain tolerance.	1	BRAIN	HEAD	Skull	Thalamus	Organic
Basal	Basal Ganglia	Determines maximum deftness and fine motor function.	0	BRAIN	HEAD	Skull	None	None
BasAug	Basal Ganglia Augmentation	Determines maximum deftness and fine motor function.	1	BRAIN	HEAD	Skull	Basal Ganglia	Organic
Limbic	Limbic System	Affects emotional control and threat rating.	0	BRAIN	HEAD	Skull	None	None
LimAug	Limbic System Augmentation	Affects emotional control and threat rating.	1	BRAIN	HEAD	Skull	Limbic System	Organic
Heart	Heart	With the lungs, determines maximum organic load. Offers a minor augmentation load boost.	0	ORGANS	CHEST	Rib Cage	None	None
HeartAug	Heart Augmentation	With the lungs, determines maximum organic load. Offers a minor augmentation load boost.	1	ORGANS	CHEST	Rib Cage	Heart	Organic
Stomach	Stomach	Affects metabolic efficiency.	0	ORGANS	ABDOMEN	None	None	None
